codigo_iso,emision_co2,pais
ABW,27.895574,Aruba
AFG,0.085417506,Afghanistán
AGO,1.197843982,Angola
ALB,1.322334855,Albania
AND,6.519465912,Andorra
ARB,4.100226273,Mundo Árabe
ARE,22.43980121,Emiratos Árabes Unidos
ARG,4.382668884,Argentina
ARM,1.726570171,Armenia
ATG,5.136472571,Antigua y Barbuda
AUS,17.86526004,Australia
AUT,8.406418936,Austria
AZE,3.5553401,Azerbaiyán
BDI,0.023555045,Burundi
BEL,9.744777191,Bélgica
BEN,0.531738987,Benín
BFA,0.115526282,Burkina Faso
BGD,0.301630726,Bangladesh
BGR,6.925435282,Bulgaria
BHR,25.91595737,Bahrain
BHS,4.938208385,Bahamas
BIH,4.677514043,Bosnia y Herzegovina
BLR,6.330314039,Bielorrusia
BLZ,1.597516144,Belize
BMU,11.24603933,Bermuda
BOL,1.30616895,Bolivia
BRA,1.901371917,Brasil
BRB,4.93979359,Barbados
BRN,22.45018193,Brunei Darussalam
BTN,0.571168834,Bután
BWA,2.210450822,Botswana
CAF,0.059175593,República Central Africana
CAN,16.85588274,Canadá
CHE,5.03057402,Suiza
CHI,NA,Islas Canal
CHL,4.343916544,Chile
CHN,5.334909929,China
CIV,0.355057998,Costa de Marfil
CMR,0.317155402,Camerún
COD,0.030067893,República Democrática del Congo
COG,0.305257019,República del Congo
COL,1.40690202,Colombia
COM,0.160026184,Comoros
CPV,1.040309351,Cabo Verde
CRI,1.858899789,Costa Rica
CUB,2.370445059,Cuba
CUW,NA,Curacao
CYM,11.11147369,Islas Caimán
CYP,7.704853381,Chipre
CZE,11.97251522,República Checa
DEU,9.488039888,Alemania
DJI,0.57084366,Djibouti
DMA,2.170739958,Dominica
DNK,9.20201511,Dinamarca
DOM,2.227743225,República Dominicana
DZA,3.189641475,Algeria
ECU,2.244788111,Ecuador
EGY,2.377408257,Egipto
ERI,0.139499082,Eritrea
ESP,7.920890716,España
EST,13.95488409,Estonia
ETH,0.074245057,Etiopía
EUU,8.01017159,Unión Europea
FIN,12.09848186,Finlandia
FJI,1.38806342,Fiji
FRA,5.76638517,Francia
FRO,14.229607,Islas Faroe
FSM,1.326119644,Micronesia
GAB,2.765283613,Gabón
GBR,8.617163681,Reino Unido
GEO,1.663381913,Georgia
GHA,0.432928115,Ghana
GIB,12.74595509,Gibraltar
GIN,0.19503142,Guinea
GMB,0.228723501,Gambia
GNB,0.159770201,Guinea-Bissau
GNQ,5.78352809,Guinea Ecuatorial
GRC,8.892293442,Grecia
GRD,2.301034889,Granada
GRL,11.28207939,Groenlandia
GTM,0.921548718,Guatemala
GUM,NA,Guam
GUY,2.088790951,Guyana
HKG,6.321536226,Hong Kong
HND,1.13892448,Honduras
HRV,5.528298459,Croacia
HTI,0.25017388,Haití
HUN,5.572459521,Hungría
IDN,1.611855395,Indonesia
IMN,NA,Isla de Man
IND,1.19320986,India
IRL,10.14752888,Irlanda
IRN,7.209721709,Irán
IRQ,2.189316732,Irak
ISL,7.414833454,Islandia
ISR,8.78433448,Israel
ITA,7.917347216,Italia
JAM,3.47744866,Jamaica
JOR,3.557940164,Jordania
JPN,9.782963899,Japón
KAZ,14.35971247,Kasajistán
KEN,0.258132923,Kenia
KGZ,1.258434439,Kirguistán
KHM,0.253373751,Cambodia
KIR,0.533043993,Kiribati
KNA,4.345921298,San Kitts y Nevis
KOR,10.18156704,Korea
KWT,30.05334284,Kuwait
LAO,0.152848497,Lao
LBN,3.294180595,Líbano
LBR,0.189982043,Liberia
LBY,8.367869151,Libia
LCA,2.301629525,Santa Lucía
LIE,1.764877414,Liechtenstein
LKA,0.623605804,Sri Lanka
LSO,1.047034057,Lesoto
LTU,4.693696086,Lituania
LUX,22.95728271,Luxemburgo
LVA,3.779785259,Latvia
MAC,3.04962854,Macao
MAF,NA,San Martín (Francia)
MAR,1.609794004,Marruecos
MCO,NA,Mónaco
MDA,1.30813803,Moldova
MDG,0.093403805,Madagascar
MDV,2.324131877,Maldivas
MEX,4.296635487,México
MHL,1.899016054,Islas Marshall
MKD,4.596492884,Macedonia del Norte
MLI,0.073738963,Mali
MLT,6.698844917,Malta
MMR,0.261834894,Myanmar
MNE,3.655836006,Montenegro
MNG,4.655079543,Mongolia
MNP,NA,Islas Mariana del Norte
MOZ,0.101969512,Mozambique
MRT,0.556802755,Mauritania
MUS,2.97588958,Mauritius
MWI,0.06411502,Malawi
MYS,6.941255761,Malasia
NAM,1.135406014,Namibia
NCL,12.30763218,Nueva Caledonia
NER,0.049248865,Nigeria
NIC,0.834057151,Nicaragua
NLD,10.78586295,Países Bajos
NOR,9.57484966,Noruega
NPL,0.099736268,Nepal
NRU,4.399520096,Nauru
NZL,7.963774563,Nueva Zelanda
OMN,16.41001787,Omán
PAK,0.991029936,Pakistán
PAN,2.084170019,Panamá
PER,1.518243277,Perú
PHL,0.808236155,Filipinas
PLW,12.94278187,Palau
PNG,0.923399974,Papúa Nueva Guinea
POL,8.244183742,Polonia
PRI,NA,Puerto Rico
PRK,2.653668475,Corea del Norte
PRT,5.705207852,Portugal
PRY,0.693306363,Paraguay
PSE,0.665297084,Cisjordania y Gaza
PYF,3.137988595,Polinesia Francesa
QAT,53.19098579,Qatar
ROU,4.895132266,Rumania
RUS,11.67245657,Rusia
RWA,0.058998654,Ruanda
SAS,1.043874776,Sur de Asia
SAU,15.35597887,Arabia Saudita
SDN,0.332724015,Sudán
SEN,0.436387428,Senegal
SGP,4.342606098,Singapur
SLB,0.364512922,Islas Salomón
SLE,0.106680052,Sierra Leona
SLV,1.14709126,El Salvador
SMR,NA,San Marino
SOM,0.055144875,Somalía
SRB,7.106397561,Serbia
SSD,NA,Sudán del Sur
STP,0.517109031,Santo Tomé y Príncipe
SUR,3.460485967,Surinam
SVK,6.843273815,Eslovaquia
SVN,8.049468764,Eslovenia
SWE,5.253521937,Suecia
SWZ,0.934116514,Eswatini
SYC,7.546775958,Seychelles
SYR,3.385559965,Siria
TCA,5.761696927,Islas Tucas y Caicos
TCD,0.042878111,Chad
TGO,0.234790329,Togo
THA,3.813655648,Tailandia
TJK,0.452197973,Tayikistán
TKM,11.50743008,Turkmenistan
TLS,0.172163989,Timor-Leste
TON,1.110593316,Tonga
TTO,34.73295373,Trinidad y Tobago
TUN,2.341262508,Túnez
TUR,4.090076579,Turquía
TUV,1.074001757,Tuvalu
TZA,0.140649177,Tanzania
UGA,0.094460608,Uganda
UKR,6.907396814,Ucrania
URY,1.797408542,Uruguay
USA,19.21789784,Estados Unidos
UZB,4.473745459,Uzbekistan
VCT,2.084917513,San Vicente y las Granadinas
VEN,5.806267233,Venezuela
VGB,6.079293195,Islas Vírgenes Británicas
VIR,NA,Islas Vírgenes (EEUU)
VNM,1.221015643,Vietnam
VUT,0.450137075,Vanuatu
WLD,4.665741644,Mundo
WSM,0.945486763,Samoa
XKX,NA,Kosovo
YEM,0.964139106,Yemen
ZAF,9.352664746,Sudáfrica
ZMB,0.151567338,Zambia
ZWE,0.741657876,Zimbabue
